day,wake_time_min,sleep_start_min,screen_after_wake_min,prep_min,commute_min,arrival_time_min,late
Tue,420,102,14.2,30.9,3.4,463.1,0
Fri,496,80,0.0,21.3,24.2,525.3,1
Thu,507,1369,0.0,35.4,6.3,549.1,1
Wed,380,130,13.8,25.7,22.9,439.8,0
Tue,417,12,7.6,37.9,8.9,466.5,0
Wed,570,34,3.6,6.0,41.9,618.2,1
Mon,362,82,38.6,33.8,4.6,421.1,0
Wed,340,36,32.6,21.9,27.7,404.9,0
Tue,471,41,9.7,20.9,12.3,513.5,1
Fri,270,1290,40.9,27.6,93.1,417.9,0
Thu,558,160,1.3,11.6,56.7,636.9,1
Fri,570,115,8.8,6.0,9.9,582.8,1
Thu,390,131,10.2,22.6,25.1,437.7,0
Fri,418,1336,37.4,26.6,13.2,488.2,1
Fri,419,95,27.0,28.4,23.5,492.8,1
Mon,270,1326,28.9,27.8,14.1,324.3,0
Mon,510,157,0.1,22.2,40.6,559.3,1
Thu,563,123,2.1,14.2,9.6,572.7,1
Fri,570,102,9.0,19.5,19.6,616.7,1
Mon,318,70,14.0,27.7,20.8,370.6,0
Mon,270,58,16.7,44.9,47.1,374.6,0
Wed,375,17,15.7,30.9,19.9,435.1,0
Fri,570,81,4.3,19.1,77.8,675.6,1
Thu,570,100,5.3,19.6,36.5,642.0,1
Fri,270,1221,6.4,39.2,11.7,331.2,0
Mon,430,9,8.6,22.7,45.6,513.3,1
Tue,502,22,1.7,10.2,33.2,554.5,1
Thu,314,2,0.8,34.6,50.5,407.6,0
Thu,402,54,0.0,37.1,0.0,443.4,0
Wed,405,150,6.8,31.4,19.9,464.8,1
Tue,397,81,4.2,16.0,23.0,438.3,0
Fri,485,1338,7.5,24.1,12.2,525.5,1
Tue,511,136,8.6,14.5,11.8,540.9,1
Thu,270,1208,41.2,44.7,20.5,358.3,0
Wed,325,1276,29.9,30.6,9.7,376.6,0
Thu,272,1334,5.6,32.6,75.6,403.6,0
Thu,570,114,0.0,28.4,10.6,611.0,1
Fri,270,1261,0.5,29.8,12.1,314.8,0
Tue,338,1433,9.1,29.7,0.0,370.5,0
Tue,324,85,5.8,29.7,34.3,397.6,0
Tue,277,1303,31.4,47.9,11.8,345.6,0
Wed,316,1256,11.0,23.0,10.3,357.0,0
Mon,270,44,3.2,42.0,8.0,324.3,0
Thu,294,1281,3.5,38.7,21.8,358.1,0
Fri,570,83,5.0,11.1,37.5,619.7,1
Thu,570,88,0.0,7.4,46.4,614.2,1
Wed,405,66,1.6,32.3,6.6,451.3,0
Tue,270,1222,7.1,34.2,12.4,320.4,0
Mon,361,72,41.7,38.1,54.1,477.5,1
Tue,363,69,32.2,23.2,33.3,449.4,0
Fri,426,100,5.7,26.2,8.9,466.3,0
Tue,514,34,5.9,8.8,5.1,526.6,1
Fri,374,105,6.3,9.0,31.7,422.9,0
Wed,270,1429,0.7,34.0,22.0,337.9,0
Thu,270,1210,14.1,37.1,43.7,363.2,0
Mon,390,150,10.8,31.2,5.4,447.8,0
Thu,270,1217,5.1,38.6,0.0,319.7,0
Wed,364,1415,7.0,31.2,64.5,468.0,0
Mon,270,1233,5.6,49.5,20.4,332.5,0
Fri,402,15,34.8,34.6,9.3,446.3,0
Mon,312,64,14.5,27.3,7.8,349.4,0
Tue,272,1401,8.7,45.0,11.0,345.5,0
Fri,466,69,4.8,15.3,36.6,515.4,1
Fri,270,1436,1.1,41.4,0.0,307.5,0
Thu,428,151,3.7,23.8,40.3,500.0,1
Mon,570,139,7.0,9.8,80.2,666.6,1
Tue,380,14,35.8,32.8,82.7,519.6,1
Mon,420,87,17.3,17.0,10.3,455.1,0
Tue,441,18,1.7,33.6,16.8,496.1,0
Fri,437,89,0.0,22.7,84.4,548.1,1
Wed,270,1302,16.1,36.5,39.2,351.3,0
Fri,399,12,13.9,22.2,83.5,525.4,1
Mon,570,5,0.5,12.7,11.2,574.6,1
Wed,441,1409,39.2,12.4,2.9,474.8,0
Mon,270,1258,8.0,27.0,14.8,320.8,0
Mon,384,9,12.0,15.2,14.4,438.2,0
Wed,540,148,0.0,32.8,43.3,606.6,1
Thu,428,144,31.9,18.4,38.4,509.2,1
Tue,395,17,22.9,17.4,40.7,456.5,0
Tue,300,1439,19.1,32.4,6.3,345.7,0
Thu,274,1431,8.1,24.5,6.0,318.2,0
Tue,482,151,1.2,21.9,11.0,515.2,1
Mon,555,108,2.0,6.0,10.6,580.1,1
Thu,362,1411,42.0,25.1,21.1,424.2,0
Tue,303,1322,3.7,32.4,51.3,398.3,0
Wed,443,52,41.5,29.3,37.5,533.2,1
Mon,270,1203,19.0,38.2,38.9,357.6,0
Thu,383,20,21.0,17.0,21.1,432.7,0
Wed,270,1227,2.6,49.1,13.9,343.9,0
Thu,317,1387,24.8,32.0,10.8,360.2,0
Tue,338,1331,0.0,24.9,8.9,359.5,0
Thu,351,124,56.6,30.0,37.6,453.1,0
Mon,452,61,31.7,53.5,38.6,554.6,1
Thu,411,27,0.0,35.9,22.6,462.3,0
Thu,412,1425,6.6,11.0,30.7,465.9,0
Wed,394,92,11.9,23.5,23.6,449.8,0
Fri,270,1322,43.5,44.6,41.1,392.7,0
Fri,564,78,0.6,16.8,6.1,589.4,1
Mon,326,1323,0.6,39.5,4.0,359.9,0
Wed,471,1324,0.2,15.6,14.3,493.6,1
Mon,570,116,0.0,9.8,34.9,619.4,1
Fri,453,181,3.0,23.4,9.4,485.0,0
Mon,270,1349,12.7,45.6,48.9,371.0,0
Tue,423,1306,39.6,27.8,12.8,479.5,1
Wed,273,1405,5.1,26.8,8.9,315.1,0
Fri,270,1290,43.1,43.1,6.4,367.0,0
Tue,270,1376,7.1,35.9,19.0,339.8,0
Tue,270,1421,14.6,27.0,22.8,337.6,0
Tue,389,74,29.4,23.8,47.3,473.4,0
Mon,570,81,0.0,9.2,20.7,601.7,1
Thu,364,1365,33.0,31.1,30.8,455.3,0
Mon,372,52,0.0,25.8,45.8,450.2,0
Tue,414,1422,0.0,13.4,13.0,436.8,0
Wed,270,1318,99.9,40.0,4.6,366.5,0
Tue,338,1438,10.0,23.4,32.3,395.5,0
Fri,570,141,4.9,6.0,30.9,598.4,1
Mon,367,81,4.5,27.0,0.0,411.1,0
Thu,270,1409,10.2,32.4,1.5,310.1,0
Wed,270,1273,24.5,25.9,10.9,326.4,0
Thu,374,102,5.8,6.0,9.9,392.3,0
Thu,315,1420,2.6,37.5,45.7,411.1,0
Wed,270,40,0.0,40.0,16.7,337.8,0
Tue,458,75,3.6,10.6,25.0,510.6,1
Mon,486,68,5.5,19.4,50.1,547.1,1
Fri,394,42,9.5,19.3,8.4,433.0,0
Mon,403,91,0.9,33.7,16.7,454.3,0
Wed,297,1234,20.8,34.9,28.4,369.9,0
Mon,392,16,17.2,23.4,16.8,443.8,0
Tue,270,1279,1.5,28.9,46.9,351.9,0
Tue,319,1400,0.0,40.2,6.3,373.5,0
Mon,359,19,3.1,12.1,3.5,391.8,0
Tue,270,122,0.5,37.2,45.8,352.6,0
Thu,570,157,0.0,15.9,18.3,613.5,1
Mon,507,68,4.5,28.3,7.6,549.0,1
Wed,434,120,6.9,8.3,12.8,459.3,0
Wed,495,145,0.0,32.7,7.1,543.1,1
Fri,570,89,12.6,6.0,44.3,642.7,1
Tue,270,1284,6.5,46.8,23.8,343.7,0
Thu,270,1357,56.6,33.0,3.6,324.4,0
Tue,270,1221,18.6,34.1,14.4,330.4,0
Fri,570,156,0.0,37.8,12.9,610.3,1
Fri,491,77,5.6,19.8,1.3,523.3,1
Mon,471,1296,7.9,16.0,21.3,512.6,1
Thu,570,41,0.6,14.5,8.5,600.9,1
Thu,308,1409,0.0,33.0,30.8,365.2,0
Tue,491,85,0.5,13.5,65.7,570.0,1
Wed,342,36,13.2,21.1,22.9,399.3,0
Fri,433,1423,10.9,14.2,9.3,445.5,0
Mon,407,41,4.6,27.6,7.6,431.5,0
Tue,270,1173,8.7,35.7,63.8,378.6,0
Mon,300,1222,29.1,38.1,2.2,355.6,0
Wed,387,1275,12.4,34.7,0.0,434.8,0
Tue,444,90,4.8,18.2,65.9,535.7,1
Mon,505,117,2.3,9.9,4.1,525.5,1
Thu,356,1382,14.9,36.9,22.9,408.1,0
Wed,316,73,6.0,30.8,8.9,363.2,0
Tue,416,22,8.6,29.0,41.8,499.6,1
Thu,270,1370,14.4,31.5,14.8,329.2,0
Tue,270,1222,9.0,35.2,13.8,336.8,0
Mon,398,82,3.8,34.4,17.4,460.5,0
Fri,385,1385,11.0,21.2,12.0,428.2,0
Mon,545,43,1.3,19.5,0.0,560.5,1
Wed,270,1334,13.4,39.6,32.5,361.8,0
Fri,409,28,0.0,23.6,0.4,444.1,0
Tue,385,47,25.1,18.9,24.2,437.8,0
Mon,513,98,10.5,18.2,37.6,558.3,1
Wed,560,63,0.0,6.0,2.9,577.2,1
Mon,307,1251,32.4,38.2,20.7,396.6,0
Wed,428,126,9.1,8.6,20.5,468.5,1
Tue,570,78,4.8,6.0,13.5,596.3,1
Mon,337,1399,3.1,26.0,58.0,433.7,0
Thu,570,156,4.6,12.9,50.8,638.3,1
Thu,478,68,2.3,20.2,22.1,524.7,1
Thu,570,51,12.7,15.3,17.0,611.2,1
Fri,315,1323,79.9,31.5,12.7,406.0,0
Wed,312,1297,4.8,35.8,14.8,367.7,0
Thu,437,101,20.9,27.4,7.0,463.7,0
Wed,570,166,2.5,18.6,0.0,585.4,1
Thu,569,103,2.5,22.9,25.1,624.1,1
Thu,352,90,8.2,34.6,35.3,420.6,0
Tue,379,1254,2.4,28.7,38.3,436.4,0
Mon,570,85,3.7,21.9,23.6,617.1,1
Thu,444,146,44.2,24.9,45.5,545.6,1
Thu,377,1384,45.3,40.4,6.1,465.3,0
Thu,283,26,35.6,38.2,10.3,355.6,0
Mon,331,52,40.3,45.4,20.2,423.7,0
Wed,530,58,0.6,20.2,8.3,556.1,1
Thu,296,1374,5.7,32.1,41.7,350.5,0
Wed,399,117,2.4,13.2,1.7,399.8,0
Wed,403,1377,39.1,19.1,7.2,451.1,0
